Total pages,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doc id,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AVG: 3.5404503753,AVG: 21.7583333333,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MEDIAN: 2,MEDIAN: 18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,no of labels,no of para,no of unique words in page(over all para),no of words in each para,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,
3,1,3,24,24,21,16,,,,,,,,,,,,,,,,,,,,,,,
4,1,2,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,
5,1,3,12,12,10,11,,,,,,,,,,,,,,,,,,,,,,,
6,2,10,47,47,15,15,15,19,19,22,19,12,13,,,,,,,,,,,,,,,,
7,1,2,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,
8,1,3,28,28,25,21,,,,,,,,,,,,,,,,,,,,,,,
9,1,2,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,
10,1,3,12,12,9,8,,,,,,,,,,,,,,,,,,,,,,,
11,2,7,46,46,22,21,24,19,21,14,,,,,,,,,,,,,,,,,,,
12,1,2,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,
13,1,2,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,
14,1,2,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,
15,1,3,17,17,14,14,,,,,,,,,,,,,,,,,,,,,,,
16,1,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
17,1,2,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,
18,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
19,1,4,25,25,19,20,13,,,,,,,,,,,,,,,,,,,,,,
20,1,12,46,46,9,12,20,18,21,21,21,24,21,15,13,,,,,,,,,,,,,,
21,1,3,12,12,8,8,,,,,,,,,,,,,,,,,,,,,,,
22,1,2,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,
23,1,5,34,34,21,27,16,6,,,,,,,,,,,,,,,,,,,,,
24,2,13,60,60,17,20,19,19,22,21,16,14,12,17,19,18,,,,,,,,,,,,,
25,1,2,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,
26,1,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
27,1,2,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,
28,2,6,35,35,13,12,16,22,18,,,,,,,,,,,,,,,,,,,,
29,2,3,16,16,15,9,,,,,,,,,,,,,,,,,,,,,,,
30,1,2,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,
31,1,2,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,
32,1,2,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,
33,1,2,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,
34,1,2,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,
35,1,2,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,
36,1,6,41,41,17,20,19,17,16,,,,,,,,,,,,,,,,,,,,
37,2,6,35,35,18,16,16,18,12,,,,,,,,,,,,,,,,,,,,
38,1,2,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,
39,1,2,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,
40,2,17,68,68,17,19,14,13,14,11,13,16,15,16,15,12,12,5,7,9,,,,,,,,,
41,2,2,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,
42,1,2,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,
43,1,2,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,
44,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
45,1,2,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,
46,1,10,54,54,15,18,18,20,22,19,14,22,19,,,,,,,,,,,,,,,,
47,1,2,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,
48,1,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
49,1,3,22,22,17,18,,,,,,,,,,,,,,,,,,,,,,,
50,1,3,21,21,18,16,,,,,,,,,,,,,,,,,,,,,,,
51,2,2,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,
52,1,2,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,
53,1,4,32,32,22,25,15,,,,,,,,,,,,,,,,,,,,,,
54,1,2,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,
55,1,4,21,21,9,17,14,,,,,,,,,,,,,,,,,,,,,,
56,2,3,21,21,16,16,,,,,,,,,,,,,,,,,,,,,,,
57,1,2,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,
58,2,9,60,60,20,25,23,22,21,16,14,15,,,,,,,,,,,,,,,,,
59,1,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
60,2,2,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,
61,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
62,1,3,27,27,21,23,,,,,,,,,,,,,,,,,,,,,,,
63,1,3,17,17,13,13,,,,,,,,,,,,,,,,,,,,,,,
64,1,2,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,
65,1,6,43,43,21,24,20,20,11,,,,,,,,,,,,,,,,,,,,
66,1,2,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,
67,1,2,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,
68,1,2,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,
69,1,9,52,52,16,14,16,23,24,16,17,13,,,,,,,,,,,,,,,,,
70,1,2,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,
71,2,14,66,66,15,20,23,21,19,20,16,14,17,18,21,16,6,,,,,,,,,,,,
72,1,2,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,
73,1,2,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,
74,1,2,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,
75,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
76,1,4,20,20,12,15,12,,,,,,,,,,,,,,,,,,,,,,
77,1,3,20,20,15,15,,,,,,,,,,,,,,,,,,,,,,,
78,2,16,65,65,15,15,16,19,16,13,12,12,14,16,14,14,11,13,11,,,,,,,,,,
79,1,4,36,36,21,23,20,,,,,,,,,,,,,,,,,,,,,,
80,1,2,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,
81,1,2,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,
82,1,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
83,2,2,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,
84,2,2,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,
85,1,6,44,44,19,22,19,16,15,,,,,,,,,,,,,,,,,,,,
86,1,2,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,
87,1,2,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,
88,1,3,17,17,11,12,,,,,,,,,,,,,,,,,,,,,,,
89,1,3,20,20,17,13,,,,,,,,,,,,,,,,,,,,,,,
90,1,6,40,40,23,19,20,18,11,,,,,,,,,,,,,,,,,,,,
91,2,2,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,
92,1,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
93,2,13,55,55,14,20,18,14,11,11,15,17,13,11,20,17,,,,,,,,,,,,,
94,1,2,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,
95,3,4,37,37,23,22,20,,,,,,,,,,,,,,,,,,,,,,
96,1,2,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,
97,1,6,44,44,20,15,21,24,16,,,,,,,,,,,,,,,,,,,,
98,1,8,50,50,14,13,15,19,18,22,14,,,,,,,,,,,,,,,,,,
99,2,3,25,25,21,18,,,,,,,,,,,,,,,,,,,,,,,
100,2,3,21,21,21,12,,,,,,,,,,,,,,,,,,,,,,,
101,1,3,14,14,13,8,,,,,,,,,,,,,,,,,,,,,,,
102,1,10,47,47,19,17,22,17,14,14,12,14,13,,,,,,,,,,,,,,,,
103,1,4,13,13,8,6,5,,,,,,,,,,,,,,,,,,,,,,
104,1,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
105,1,2,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,
106,1,4,21,21,17,16,12,,,,,,,,,,,,,,,,,,,,,,
107,1,8,46,46,17,14,19,16,19,25,16,,,,,,,,,,,,,,,,,,
108,1,2,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,
109,1,2,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,
110,1,2,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,
111,1,7,35,35,13,17,17,21,19,10,,,,,,,,,,,,,,,,,,,
112,1,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
113,1,6,46,46,23,23,24,20,17,,,,,,,,,,,,,,,,,,,,
114,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
115,1,2,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,
116,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
117,1,2,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,
118,1,2,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,
119,1,3,21,21,18,13,,,,,,,,,,,,,,,,,,,,,,,
120,1,2,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,
121,1,2,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,
122,1,2,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,
123,1,2,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,
124,1,5,35,35,21,19,19,17,,,,,,,,,,,,,,,,,,,,,
125,1,2,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,
126,1,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,
127,1,12,60,60,19,18,22,21,18,18,17,18,16,14,9,,,,,,,,,,,,,,
128,2,8,56,56,19,19,20,22,19,19,16,,,,,,,,,,,,,,,,,,
129,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
130,2,2,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,
131,2,7,40,40,15,19,17,18,22,11,,,,,,,,,,,,,,,,,,,
132,1,2,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,
133,1,5,31,31,22,24,14,4,,,,,,,,,,,,,,,,,,,,,
134,1,3,24,24,23,13,,,,,,,,,,,,,,,,,,,,,,,
135,1,3,29,29,21,19,,,,,,,,,,,,,,,,,,,,,,,
136,1,3,23,23,22,12,,,,,,,,,,,,,,,,,,,,,,,
137,1,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
138,1,5,33,33,19,17,17,12,,,,,,,,,,,,,,,,,,,,,
139,2,3,20,20,19,12,,,,,,,,,,,,,,,,,,,,,,,
140,2,5,28,28,19,17,11,9,,,,,,,,,,,,,,,,,,,,,
141,1,3,14,14,11,10,,,,,,,,,,,,,,,,,,,,,,,
142,2,5,39,39,26,21,22,17,,,,,,,,,,,,,,,,,,,,,
143,2,2,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,
144,1,3,24,24,24,14,,,,,,,,,,,,,,,,,,,,,,,
145,1,7,19,19,8,8,8,7,9,7,,,,,,,,,,,,,,,,,,,
146,1,2,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,
147,1,2,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,
148,1,2,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,
149,2,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,
150,1,3,18,18,16,13,,,,,,,,,,,,,,,,,,,,,,,
151,1,2,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,
152,1,2,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,
153,1,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
154,1,2,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,
155,2,11,66,66,24,26,24,21,18,19,22,18,17,14,,,,,,,,,,,,,,,
156,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
157,1,2,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,
158,1,7,38,38,16,14,21,22,17,9,,,,,,,,,,,,,,,,,,,
159,1,2,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,
160,1,3,15,15,13,10,,,,,,,,,,,,,,,,,,,,,,,
161,1,2,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,
162,1,2,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,
163,1,3,24,24,23,18,,,,,,,,,,,,,,,,,,,,,,,
164,1,5,30,30,22,15,11,8,,,,,,,,,,,,,,,,,,,,,
165,1,3,27,27,23,19,,,,,,,,,,,,,,,,,,,,,,,
166,1,3,16,16,15,9,,,,,,,,,,,,,,,,,,,,,,,
167,1,2,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,
168,1,2,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,
169,1,5,38,38,21,22,24,17,,,,,,,,,,,,,,,,,,,,,
170,2,6,47,47,23,22,17,17,17,,,,,,,,,,,,,,,,,,,,
171,1,4,20,20,17,16,12,,,,,,,,,,,,,,,,,,,,,,
172,1,2,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,
173,1,2,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,
174,1,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
175,1,2,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,
176,1,2,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,
177,1,2,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,
178,1,2,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,
179,1,3,23,23,18,18,,,,,,,,,,,,,,,,,,,,,,,
180,1,2,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,
181,1,2,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,
182,1,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
183,1,4,21,21,15,16,10,,,,,,,,,,,,,,,,,,,,,,
184,1,2,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,
185,1,2,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,
186,2,10,45,45,12,16,15,9,16,18,20,15,12,,,,,,,,,,,,,,,,
187,1,2,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,
188,1,2,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,
189,1,4,33,33,22,25,19,,,,,,,,,,,,,,,,,,,,,,
190,1,11,74,74,22,20,21,21,19,16,18,18,20,17,,,,,,,,,,,,,,,
191,1,2,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,
192,1,9,50,50,23,19,23,22,18,13,14,12,,,,,,,,,,,,,,,,,
193,1,6,29,29,13,13,9,11,17,,,,,,,,,,,,,,,,,,,,
194,1,2,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,
195,1,6,29,29,16,15,15,14,10,,,,,,,,,,,,,,,,,,,,
196,2,7,43,43,18,19,18,17,18,12,,,,,,,,,,,,,,,,,,,
197,1,13,65,65,14,15,21,21,18,18,19,19,15,11,15,13,,,,,,,,,,,,,
198,1,3,8,8,7,7,,,,,,,,,,,,,,,,,,,,,,,
199,1,7,26,26,11,10,13,16,13,12,,,,,,,,,,,,,,,,,,,
200,1,3,21,21,15,16,,,,,,,,,,,,,,,,,,,,,,,
201,1,3,21,21,20,12,,,,,,,,,,,,,,,,,,,,,,,
202,1,4,36,36,20,21,18,,,,,,,,,,,,,,,,,,,,,,
203,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
204,1,4,26,26,20,14,14,,,,,,,,,,,,,,,,,,,,,,
205,2,2,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,
206,1,2,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,
207,1,3,27,27,21,21,,,,,,,,,,,,,,,,,,,,,,,
208,1,5,32,32,17,19,19,18,,,,,,,,,,,,,,,,,,,,,
209,1,2,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,
210,1,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
211,1,2,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,
212,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
213,1,2,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,
214,1,6,21,21,17,16,11,13,11,,,,,,,,,,,,,,,,,,,,
215,1,3,24,24,17,18,,,,,,,,,,,,,,,,,,,,,,,
216,1,9,54,54,17,21,27,19,18,22,21,16,,,,,,,,,,,,,,,,,
217,1,3,24,24,22,18,,,,,,,,,,,,,,,,,,,,,,,
218,1,3,20,20,19,17,,,,,,,,,,,,,,,,,,,,,,,
219,1,3,24,24,23,10,,,,,,,,,,,,,,,,,,,,,,,
220,1,2,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,
221,1,2,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,
222,1,5,47,47,29,28,27,15,,,,,,,,,,,,,,,,,,,,,
223,1,2,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,
224,1,11,46,46,14,15,16,14,9,15,20,21,14,7,,,,,,,,,,,,,,,
225,1,2,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,
226,1,5,38,38,18,20,22,20,,,,,,,,,,,,,,,,,,,,,
227,1,2,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,
228,1,2,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,
229,1,2,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,
230,2,6,38,38,18,15,18,19,18,,,,,,,,,,,,,,,,,,,,
231,1,6,35,35,13,20,22,16,11,,,,,,,,,,,,,,,,,,,,
232,1,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
233,1,2,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,
234,1,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
235,1,2,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,
236,1,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
237,2,3,25,25,15,20,,,,,,,,,,,,,,,,,,,,,,,
238,1,2,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,
239,1,10,58,58,19,21,21,17,20,21,22,22,14,,,,,,,,,,,,,,,,
240,1,4,28,28,16,14,13,,,,,,,,,,,,,,,,,,,,,,
241,1,3,19,19,19,12,,,,,,,,,,,,,,,,,,,,,,,
242,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
243,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
244,1,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
245,1,3,24,24,19,19,,,,,,,,,,,,,,,,,,,,,,,
246,1,8,46,46,15,18,18,13,17,25,14,,,,,,,,,,,,,,,,,,
247,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
248,1,3,22,22,22,16,,,,,,,,,,,,,,,,,,,,,,,
249,1,3,12,12,12,9,,,,,,,,,,,,,,,,,,,,,,,
250,1,3,23,23,18,15,,,,,,,,,,,,,,,,,,,,,,,
251,1,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
252,2,3,20,20,17,12,,,,,,,,,,,,,,,,,,,,,,,
253,1,2,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,
254,1,9,47,47,19,21,17,17,20,17,15,12,,,,,,,,,,,,,,,,,
255,1,4,25,25,14,17,13,,,,,,,,,,,,,,,,,,,,,,
256,1,3,16,16,15,10,,,,,,,,,,,,,,,,,,,,,,,
257,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
258,1,2,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,
259,2,2,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,
260,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
261,1,5,28,28,14,14,18,13,,,,,,,,,,,,,,,,,,,,,
262,1,2,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,
263,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
264,1,4,16,16,14,6,2,,,,,,,,,,,,,,,,,,,,,,
265,1,2,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,
266,1,2,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,
267,2,2,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,
268,1,2,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,
269,1,2,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,
270,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
271,1,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
272,1,2,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,
273,1,3,20,20,16,12,,,,,,,,,,,,,,,,,,,,,,,
274,1,4,32,32,18,24,22,,,,,,,,,,,,,,,,,,,,,,
275,1,2,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,
276,2,11,60,60,16,16,18,17,14,18,20,25,19,19,,,,,,,,,,,,,,,
277,1,2,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,
278,1,2,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,
279,1,2,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,
280,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
281,1,3,24,24,19,17,,,,,,,,,,,,,,,,,,,,,,,
282,1,2,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,
283,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
284,1,2,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,
285,1,3,19,19,17,15,,,,,,,,,,,,,,,,,,,,,,,
286,1,3,13,13,8,9,,,,,,,,,,,,,,,,,,,,,,,
287,1,2,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,
288,1,2,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,
289,1,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,
290,2,3,20,20,20,13,,,,,,,,,,,,,,,,,,,,,,,
291,1,2,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,
292,1,2,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,
293,1,2,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,
294,2,2,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,
295,1,6,43,43,21,25,26,21,10,,,,,,,,,,,,,,,,,,,,
